Store,Model,Price,Image_URL,Shop_Link
高雄店,【高雄店】2022 山葉 FORCE 2.0 (ABS+TCS) #2837,62000,https://cdn.store-assets.com/s/1336053/i/98365599.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2022-山葉-force-2-0-2837-
高雄店,【高雄店】2024 三陽 JET SL+ 158 #8575,92000,https://cdn.store-assets.com/s/1336053/i/98363096.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2024-三陽-jet-sl-158-8575-
高雄店,【高雄店】2014 台鈴 address 125 #926,28000,https://cdn.store-assets.com/s/1336053/i/98348083.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2014-台鈴-address-125-926-
高雄店,【高雄店】1995 三陽 金旺90 循環檔#748,32000,https://cdn.store-assets.com/s/1336053/i/98302833.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-1995-三陽-金旺90-748-
高雄店,【高雄店】2022 三陽 DRG 158 TCS 七期 #9783,72000,https://cdn.store-assets.com/s/1336053/i/98250122.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2022-三陽-drg-158-tcs-七期-9783-
高雄店,【高雄店】2016 三陽 MIO 115 鼓煞 #9287,29999,https://cdn.store-assets.com/s/1336053/i/98244406.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2016-三陽-mio-115-鼓煞-9287
高雄店,【高雄店】2009 哈特佛 小雲豹 125 #517,29999,https://cdn.store-assets.com/s/1336053/i/98238939.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2009-哈特佛-小雲豹-125-517
高雄店,【高雄店】2023 光陽 KRV MOTO 180 (ABS+TCS) #9358,78000,https://cdn.store-assets.com/s/1336053/i/98238422.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2023-光陽-krv-180-moto-9358
高雄店,【高雄店】2020 睿能 GOGORO 3 鑰匙版 #0026(現況車),21000,https://cdn.store-assets.com/s/1336053/i/98165644.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2020-睿能-gogoro-3-鑰匙版-雙碟-epq-0026
高雄店,【高雄店】2013 宏佳騰 MY150 #920,36000,https://cdn.store-assets.com/s/1336053/i/98070774.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2013-宏佳騰-my150-920-
高雄店,【高雄店】2015山葉 勁戰四代 #6316,45000,https://cdn.store-assets.com/s/1336053/i/98031882.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2015山葉-勁戰四代-6316-
高雄店,【高雄店】2011 三陽 野狼傳奇 150 (碟煞) #3666,35000,https://cdn.store-assets.com/s/1336053/i/98025182.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2011-三陽-野狼傳奇-150-3666
高雄店,【高雄店】2013 光陽 Many110 (碟煞) #7523,32000,https://cdn.store-assets.com/s/1336053/i/97890837.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2013-光陽-many110-7523-
高雄店,【高雄店】2015 山葉YAMAHA 勁戰四代 (碟煞) #8772,45000,https://cdn.store-assets.com/s/1336053/i/97790437.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2015-山葉yamaha-勁戰四代-碟煞-8772
高雄店,【高雄店】2017 AEON宏佳騰 OZS150 #6793,32000,https://cdn.store-assets.com/s/1336053/i/97776642.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2017-aeon宏佳騰-ozs150-6793
高雄店,【高雄店】2019 台鈴SUZUKI GSX-R 150 小阿魯 (ABS) #8950,48000,https://cdn.store-assets.com/s/1336053/i/97748301.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2019-台鈴suzuki-gsx-r-150-小阿魯-abs-8950
高雄店,【高雄店】2021 三陽SYM JET SL 125 (ABS) #6106,69000,https://cdn.store-assets.com/s/1336053/i/97745483.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2021-三陽sym-jrt-sl-125-abs-6106
高雄店,【高雄店】2019 PGO JBUBU 125 (碟煞) #5522,40000,https://cdn.store-assets.com/s/1336053/i/97745197.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2019-pgo-jbubu-125-碟煞-5522
高雄店,【高雄店】2019 山葉 RS NEO #0951,48000,https://cdn.store-assets.com/s/1336053/i/97710945.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2019-山葉-rs-neo-0951-
高雄店,【高雄店】2017 光陽 羅密歐 125 #5890,38000,https://cdn.store-assets.com/s/1336053/i/97527342.jpeg,https://shop.2motor.tw/collections/2motor888/products/2017-光陽-羅密歐-125-5890
高雄店,【高雄店】2024 光陽 LIKE 150 #9027,65000,https://cdn.store-assets.com/s/1336053/i/97526716.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2024-光陽-like-150-9027
高雄店,【高雄店】2012 光陽KYMCO 俏麗Cherry (鼓煞) #518,28000,https://cdn.store-assets.com/s/1336053/i/97377771.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2012-光陽kymco-俏麗cherry-鼓煞-518
高雄店,【高雄店】2018 台鈴SUZUKI SWISH #8601,42000,https://cdn.store-assets.com/s/1336053/i/97334467.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2018-台鈴suzuki-swish-8601
高雄店,【高雄店】2017 光陽 G6 125#6071,35000,https://cdn.store-assets.com/s/1336053/i/97321064.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2017-光陽-g6-125-6071-
高雄店,【高雄店】2018 睿能 gogoro2 delight #1267 (現況車),21000,https://cdn.store-assets.com/s/1336053/i/97317028.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2018-睿能-gogoro2-delight-1267-
高雄店,【高雄店】2021 哈特佛 HS150 #6279,55000,https://cdn.store-assets.com/s/1336053/i/97298072.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2021-哈特佛-hs150-6279
高雄店,【高雄店】2018 山葉YAMAHA SMAX2.0 #0300,52000,https://cdn.store-assets.com/s/1336053/i/97275316.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2018-山葉yamaha-smax2-0-0300
高雄店,【高雄店】2018 山葉 YAMAHA SMAX 2.0 #6972,58000,https://cdn.store-assets.com/s/1336053/i/97137631.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2018-山葉-smax-6972-
高雄店,【高雄店】2022 光陽 LIKE150 #7620,55000,https://cdn.store-assets.com/s/1336053/i/97072959.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2022-光陽-like150-7620
高雄店,【高雄店】2022 光陽 NICE 100 #6725,38000,https://cdn.store-assets.com/s/1336053/i/96997836.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2022-光陽-nice-100-6725
高雄店,【高雄店】2017山葉 LIMI115 #8579,42000,https://cdn.store-assets.com/s/1336053/i/96731038.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2017山葉-limi115-8579
高雄店,【高雄店】2015光陽 VJR 125 #8259,38000,https://cdn.store-assets.com/s/1336053/i/96530367.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2015光陽-vjr-125-abs-8259
高雄店,【高雄店】2020 光陽 LIKE150 #6120,53000,https://cdn.store-assets.com/s/1336053/i/96484130.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2020-光陽-like150-6120
